Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/21/2024,11/22/2024,APPLE.COM/BILL,Shopping,Sale,-2.99,
11/18/2024,11/18/2024,Payment Thank You-Mobile,,Payment,652.84,
11/12/2024,11/13/2024,UBER   *EATS,Food & Drink,Sale,-92.59,
11/08/2024,11/10/2024,NYCDOT PARKNYC,Travel,Sale,-25.05,
11/08/2024,11/10/2024,TST* LE MARAIS,Food & Drink,Sale,-114.95,
11/08/2024,11/10/2024,ASSOCIATED SUPERMARKET,Groceries,Sale,-10.00,
11/07/2024,11/08/2024,BRITECO LLC,Personal,Sale,-9.20,
11/07/2024,11/08/2024,7-ELEVEN 20944,Gas,Sale,-6.74,
11/05/2024,11/07/2024,SOHA MARKETPLACE,Groceries,Sale,-5.08,
11/06/2024,11/07/2024,ANGELS LAUNDROMAT CORP,Personal,Sale,-43.55,
11/05/2024,11/05/2024,Payment Thank You-Mobile,,Payment,215.28,
11/05/2024,11/05/2024,UBER   *TRIP,Travel,Sale,-26.93,
11/05/2024,11/05/2024,TodayTix.com,Entertainment,Sale,-74.00,
11/02/2024,11/04/2024,TST*PINS MECHANICAL COMP,Food & Drink,Sale,-31.02,
11/02/2024,11/03/2024,LYFT   *1 RIDE 11-01,Travel,Sale,-38.54,
11/01/2024,11/03/2024,NEW YORK DELI JFK,Food & Drink,Sale,-3.54,
11/01/2024,11/03/2024,UNITED DAIRY FARMERS,Gas,Sale,-2.89,
10/31/2024,11/01/2024,SPEEDWAY 07842,Gas,Sale,-32.90,
10/29/2024,10/30/2024,AMAZON MKTPL*AR6X43V93,Shopping,Sale,-129.42,
10/27/2024,10/28/2024,Spotify USA,Bills & Utilities,Sale,-6.44,
