Date,Description,Amount
11/28/2024,AplPay Arons KissenaFlushing            NY,12.09
11/27/2024,ASSOCIATED SUPERMARKFRESH MEADOWS       NY,11.89
11/27/2024,Arons Kissena Farm  Flushing            NY,36.75
11/26/2024,CVS PHARMACY        INWOOD              NY,6.00
11/26/2024,CVS PHARMACY        INWOOD              NY,11.49
11/24/2024,IKEA ELIZABETH REST ELIZABETH           NJ,6.40
11/24/2024,KEILIM MIKVAH       FLUSHING            NY,1.00
11/24/2024,TRADER JOE S #578 00FOREST HILLS        NY,29.58
11/22/2024,GAS SALE            FRESH MEADOWS       NY,40.21
11/19/2024,SPECTRUM            855-707-7328        MO,39.99
11/18/2024,MOBILE PAYMENT - THANK YOU,-232.32
11/17/2024,BINGO WHOLESALE 5 TOINWOOD              NY,334.80
11/17/2024,"STOP, CHOP & ROLL   CEDARHURST          NY",3.00
11/17/2024,"STOP, CHOP & ROLL   CEDARHURST          NY",27.15
11/11/2024,AplPay Arons KissenaFlushing            NY,95.07
11/11/2024,AplPay MIDWAY TOBACCWINSTON SALEM       NC,5.54
11/09/2024,AplPay BP#1030667NORFLUSHING            NY,36.61
11/05/2024,MOBILE PAYMENT - THANK YOU,-658.20
11/01/2024,TST* ELITE CAFE - NEFLUSHING            NY,79.11
10/31/2024,AplPay BINGO WHOLESAINWOOD              NY,15.99
10/29/2024,BRITECO INC 86797970EVANSTON            IL,-4.17
10/29/2024,BRITECO INC 86797970EVANSTON            IL,-1.23
