MO,DY,RECORD_COUNT,RECORD_COUNT,PERC_DELTA
8,27,50,22,1.272727
8,28,84,56,0.500000
8,29,73,64,0.140625
8,30,68,85,-0.200000
8,31,109,107,0.018692
9,1,152,152,0.000000
9,2,112,112,0.000000
9,3,116,116,0.000000
9,4,110,106,0.037736
9,5,100,104,-0.038462
9,6,131,130,0.007692
9,7,132,127,0.039370
9,8,149,154,-0.032468
9,9,121,126,-0.039683
9,10,123,117,0.051282
9,11,124,124,0.000000
9,12,148,155,-0.045161
9,13,165,142,0.161972
9,14,147,150,-0.020000
9,15,168,172,-0.023256
9,16,150,134,0.119403
9,17,118,111,0.063063
9,18,109,117,-0.068376
9,19,112,110,0.018182
9,20,115,110,0.045455
9,21,148,169,-0.124260
9,22,183,152,0.203947
9,23,150,128,0.171875
9,24,180,142,0.267606
9,25,446,428,0.042056
9,26,533,530,0.005660
9,27,475,473,0.004228
9,28,595,596,-0.001678
9,29,745,738,0.009485
9,30,613,619,-0.009693
10,1,653,649,0.006163
10,2,688,655,0.050382
10,3,664,697,-0.047346
10,4,645,633,0.018957
10,5,687,687,0.000000
10,6,787,754,0.043767
10,7,578,588,-0.017007
10,8,563,538,0.046468
10,9,513,488,0.051230
10,10,577,567,0.017637
10,11,554,571,-0.029772
10,12,684,696,-0.017241
10,13,857,810,0.058025
10,14,644,626,0.028754
10,15,591,582,0.015464
10,16,590,601,-0.018303
10,17,584,551,0.059891
10,18,633,627,0.009569
10,19,735,730,0.006849
10,20,843,836,0.008373
10,21,586,588,-0.003401
10,22,533,522,0.021073
10,23,577,588,-0.018707
10,24,571,557,0.025135
10,25,573,588,-0.025510
10,26,731,729,0.002743
10,27,829,790,0.049367
10,28,600,609,-0.014778
10,29,606,589,0.028862
10,30,586,580,0.010345
10,31,622,607,0.024712
11,1,809,829,-0.024125
11,2,813,793,0.025221
11,3,914,883,0.035108
11,4,654,648,0.009259
11,5,557,557,0.000000
11,6,563,542,0.038745
11,7,587,573,0.024433
11,8,631,655,-0.036641
11,9,786,763,0.030144
11,10,963,963,0.000000
11,11,734,748,-0.018717
11,12,847,821,0.031669
11,13,900,838,0.073986
11,14,753,738,0.020325
11,15,795,821,-0.031669
11,16,1094,1096,-0.001825
11,17,1224,1198,0.021703
11,18,848,836,0.014354
11,19,758,776,-0.023196
11,20,881,861,0.023229
11,21,746,739,0.009472
11,22,832,892,-0.067265
11,23,1186,1116,0.062724
11,24,1213,1198,0.012521
11,25,806,821,-0.018270
11,26,817,771,0.059663
11,27,776,792,-0.020202
11,28,836,840,-0.004762
11,29,901,926,-0.026998
11,30,1068,1046,0.021033
12,1,1381,1348,0.024481
12,2,862,838,0.028640
12,3,863,874,-0.012586
12,4,370,271,0.365314
