Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/21/2024,11/21/2024,Payment Thank You - Web,,Payment,1624.35,
11/10/2024,11/12/2024,BISON AND BOURBON,Food & Drink,Sale,-424.81,
11/07/2024,11/10/2024,DISNEYLAND TICKETS,Entertainment,Sale,-731.00,
11/06/2024,11/07/2024,USPS PO 3300740104,Shopping,Sale,-25.83,
11/06/2024,11/07/2024,MAIN STREET FOOD AND LIQ,Food & Drink,Sale,-115.13,
11/06/2024,11/07/2024,CHARIDY OUR PLACE,Gifts & Donations,Sale,-100.00,
11/04/2024,11/06/2024,TOIREM.ORG CHARITY,Gifts & Donations,Sale,-25.00,
11/04/2024,11/05/2024,TOIREM.ORG CHARITY,Gifts & Donations,Sale,-25.00,
11/04/2024,11/05/2024,TST* GIDDY'S PIZZERIA,Food & Drink,Sale,-10.93,
11/03/2024,11/04/2024,LOWES #00692*,Home,Sale,-159.00,
11/03/2024,11/04/2024,DUNKIN #339060 Q35,Food & Drink,Sale,-4.57,
10/31/2024,10/31/2024,Payment Thank You - Web,,Payment,372.36,
10/30/2024,10/31/2024,DUNKIN #339060 Q35,Food & Drink,Sale,-3.08,
10/27/2024,10/29/2024,61585 - LIBERTY SCIENCE C,Travel,Sale,-7.00,
10/28/2024,10/29/2024,TST* MILKBOY - PHILADELPH,Food & Drink,Sale,-7.50,
10/27/2024,10/28/2024,LUKOIL 57237,Gas,Sale,-39.21,
10/27/2024,10/28/2024,DUNKIN #339060 Q35,Food & Drink,Sale,-4.57,
10/16/2024,10/17/2024,LOWES #00692*,Home,Sale,-75.66,
10/15/2024,10/16/2024,SQ *A PLUS TEAM LLC,Personal,Sale,-43.00,
10/14/2024,10/15/2024,LOWES #00692*,Home,Return,9.04,
10/14/2024,10/15/2024,LOWES #00692*,Home,Sale,-29.77,
10/14/2024,10/15/2024,LOWES #00692*,Home,Sale,-9.04,
10/14/2024,10/15/2024,LOWES #00692*,Home,Sale,-104.00,
10/11/2024,10/13/2024,RACEWAY 2117,Gas,Sale,-61.65,
10/08/2024,10/08/2024,Payment Thank You - Web,,Payment,337.28,
10/02/2024,10/04/2024,STARBUCKS CMH,Food & Drink,Sale,-8.10,
10/03/2024,10/03/2024,CANONICA PRI I LLC,Shopping,Sale,-22.66,
09/29/2024,09/30/2024,DD/BR #340935 Q35,Food & Drink,Sale,-1.91,
09/29/2024,09/29/2024,AMAZING ESCAPE ROOM GREEN,Entertainment,Sale,-38.18,
09/29/2024,09/29/2024,AMAZING ESCAPE ROOM GREEN,Entertainment,Sale,-229.12,
09/22/2024,09/24/2024,ALLENHURST WINE AND SPIRI,Food & Drink,Sale,-37.31,
08/15/2024,08/15/2024,Payment Thank You - Web,,Payment,51.81,
08/12/2024,08/13/2024,RITE AID 02561,Health & Wellness,Sale,-10.52,
08/08/2024,08/09/2024,GLATT 27,Groceries,Sale,-41.29,
08/01/2024,08/01/2024,Payment Thank You - Web,,Payment,35.59,
07/14/2024,07/15/2024,TST* GIDDY'S PIZZERIA,Food & Drink,Sale,-35.59,
06/25/2024,06/25/2024,Payment Thank You - Web,,Payment,128.81,
06/16/2024,06/17/2024,GLATT 27,Groceries,Sale,-128.81,
06/06/2024,06/06/2024,Payment Thank You - Web,,Payment,15.00,
05/14/2024,05/15/2024,LAZ PKG M09290 CLOVER FL,Travel,Sale,-15.00,
04/26/2024,04/26/2024,Payment Thank You - Web,,Payment,737.26,
04/19/2024,04/21/2024,ELLINIKON AGORA,Food & Drink,Sale,-7.57,
04/19/2024,04/21/2024,GOURMET GLATT ONLINE - L,Groceries,Sale,-563.83,
04/18/2024,04/21/2024,GOURMET GLATT - LAKEWOOD,Groceries,Sale,-45.13,
04/19/2024,04/21/2024,ZENNI OPTICAL,Health & Wellness,Sale,-41.85,
04/18/2024,04/19/2024,LUKOIL 57237,Gas,Sale,-60.31,
04/18/2024,04/19/2024,DUNKIN #339060 Q35,Food & Drink,Sale,-4.57,
04/16/2024,04/17/2024,ELLINIKON AGORA,Food & Drink,Sale,-7.00,
04/16/2024,04/16/2024,Payment Thank You - Web,,Payment,511.00,
04/15/2024,04/16/2024,ELLINIKON AGORA,Food & Drink,Sale,-7.00,
04/15/2024,04/15/2024,CONGREGATION ETZ AHAIM,Gifts & Donations,Sale,-500.00,
04/11/2024,04/12/2024,SQ *STARLAND BALLROOM,Entertainment,Sale,-11.00,
03/29/2024,03/29/2024,Payment Thank You - Web,,Payment,26.50,
03/19/2024,03/20/2024,EDISON        02310001,Travel,Sale,-26.50,
03/14/2024,03/14/2024,Payment Thank You - Web,,Payment,3.00,
02/16/2024,02/16/2024,Payment Thank You - Web,,Payment,150.28,
